Artist,Track,Album,Album_type,Views,Likes,Comments,Licensed,official_video,Stream,Views_state,comments_likes,stream_state
Nile Rodgers,"I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) - DubDogz, Bhaskar Remix","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) [DubDogz, Bhaskar Remix]",single,148320.0,3332.0,63.0,True,True,1031770.0,low,low and low,low
Roxette,"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,single,653397033.0,2656568.0,87427.0,True,True,432762163.0,high,high and high,high
Roxette,Listen To Your Heart,Look Sharp!,album,400057789.0,1680295.0,59881.0,True,True,304953766.0,high,high and high,high
Roxette,The Look,Look Sharp!,album,66513931.0,360061.0,10539.0,True,True,228336704.0,high,high and high,high
Roxette,Spending My Time,Joyride (Deluxe Version),album,9313988.0,83359.0,1801.0,True,True,122584071.0,low,low and low,medium
Roxette,Fading Like A Flower (Every Time You Leave),Joyride (Deluxe Version),album,87926763.0,324573.0,11967.0,True,True,82180492.0,high,high and high,medium
Roxette,How Do You Do!,Tourism,album,46036326.0,181290.0,4862.0,True,True,77472013.0,high,high and high,medium
Roxette,Fading Like A Flower,ROX RMX Vol. 1 (Remixes From The Roxette Vaults),album,87926763.0,324573.0,11967.0,True,True,16236271.0,high,high and high,low
Roxette,Dangerous,Look Sharp!,album,40815930.0,151274.0,5684.0,True,True,48489864.0,high,high and high,medium
Roxette,Dressed For Success,Look Sharp!,album,16859521.0,75473.0,2694.0,True,True,65006147.0,high,low and low,medium
Roxette,Joyride,Joyride,album,60443550.0,268253.0,8738.0,True,True,34453801.0,high,high and high,medium
Annie Lennox,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),album,763538331.0,6430714.0,221509.0,True,True,989478518.0,high,high and high,high
Annie Lennox,Walking on Broken Glass,Diva,album,26649548.0,117163.0,7393.0,True,True,145102289.0,high,low and high,high
Annie Lennox,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",Fifty Shades Of Grey (Original Motion Picture Soundtrack),compilation,63125368.0,604036.0,7521.0,True,True,137569804.0,high,high and high,medium
Annie Lennox,Here Comes the Rain Again - Remastered Version,Touch (Reissue - Deluxe Edition),album,58403242.0,420775.0,13619.0,True,True,93672131.0,high,high and high,medium
Annie Lennox,Why,Diva,album,70949569.0,381569.0,18930.0,True,True,83478300.0,high,high and high,medium
Annie Lennox,"No More ""I Love You's""",Medusa,album,55899913.0,357962.0,19737.0,True,True,71544555.0,high,high and high,medium
Annie Lennox,Thorn in My Side - Remastered,Revenge,album,20226351.0,70921.0,3233.0,True,True,40454695.0,high,low and low,medium
Annie Lennox,Sweet Dreams (Are Made of This),Greatest Hits,compilation,763538331.0,6430714.0,221509.0,True,True,14943362.0,high,high and high,low
Annie Lennox,There Must Be an Angel (Playing With My Heart),Greatest Hits,compilation,37150369.0,248173.0,10256.0,True,True,63464225.0,high,high and high,medium
Annie Lennox,A Whiter Shade of Pale,Medusa,album,34375644.0,223860.0,10185.0,True,True,45353823.0,high,high and high,medium
Oliver Heldens,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),single,148320.0,3332.0,63.0,True,True,36981245.0,low,low and low,medium
Oliver Heldens,Turn Me On (feat. Vula),Turn Me On (feat. Vula),single,17046464.0,192080.0,2678.0,False,True,344347152.0,high,high and low,high
Oliver Heldens,Ferrari - Oliver Heldens Remix,Ferrari (Oliver Heldens Remix),single,135471.0,3169.0,119.0,False,True,11992003.0,low,low and low,low
Oliver Heldens,Gecko (Overdrive) - Radio Edit,Gecko (Overdrive) [Radio Edit],single,33418002.0,227356.0,6672.0,True,True,272471387.0,high,high and high,high
Oliver Heldens,Mercury,Mercury,single,66747.0,2778.0,142.0,True,True,5707001.0,low,low and low,low
Oliver Heldens,I'm Good (Blue) - Oliver Heldens Remix,I'm Good (Blue) [Oliver Heldens Remix],single,693042.0,16738.0,323.0,True,True,4148527.0,low,low and low,low
Oliver Heldens,We Don’t Need,We Don’t Need,single,179248.0,6774.0,195.0,True,True,5899420.0,low,low and low,low
